,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_discriminator_dim,params_embedding_dim,params_epochs,params_generator_dim,params_learning_rate,state
34,34,-0.046574500000000074,2024-11-27 15:54:41.870002,2024-11-27 15:55:11.289669,0 days 00:00:29.419667,256,"128,256,128",384,400,"256,256",0.0032165537270823176,COMPLETE
35,35,0.22449399999999997,2024-11-27 15:55:11.290313,2024-11-27 15:55:53.076755,0 days 00:00:41.786442,224,"128,256,128",512,800,"256,256",9.595961887940316e-05,COMPLETE
36,36,0.37871999999999995,2024-11-27 15:55:53.077380,2024-11-27 15:56:44.849564,0 days 00:00:51.772184,192,"128,128",448,600,"256,256",0.0004992567659198939,COMPLETE
37,37,0.500635,2024-11-27 15:56:44.850216,2024-11-27 15:57:33.569018,0 days 00:00:48.718802,256,"128,256,128",384,1000,"128,128",0.0011533086775158163,COMPLETE
38,38,0.4985919999999999,2024-11-27 15:57:33.569655,2024-11-27 15:58:13.772779,0 days 00:00:40.203124,192,"128,128",448,400,"128,128",0.00010727486867170347,COMPLETE
39,39,-0.5000275000000001,2024-11-27 15:58:13.773429,2024-11-27 15:59:07.601919,0 days 00:00:53.828490,256,"128,256,128",512,1200,"256,256",1.5139460098542463e-05,COMPLETE
40,40,0.5729105000000001,2024-11-27 15:59:07.602569,2024-11-27 15:59:49.114612,0 days 00:00:41.512043,224,"256,256",256,800,"128,256,128",5.383263196427637e-05,COMPLETE
41,41,0.28091200000000005,2024-11-27 15:59:49.115608,2024-11-27 16:00:23.850408,0 days 00:00:34.734800,256,"128,256,128",512,600,"256,256",0.0003356496212702587,COMPLETE
42,42,0.1712269999999999,2024-11-27 16:00:23.851059,2024-11-27 16:00:59.820551,0 days 00:00:35.969492,256,"128,256,128",448,600,"256,256",0.0002648305011744324,COMPLETE
43,43,-0.5553184999999999,2024-11-27 16:00:59.821221,2024-11-27 16:01:29.154163,0 days 00:00:29.332942,256,"128,256,128",512,400,"256,256",0.00708783040715962,COMPLETE
44,44,0.3469905,2024-11-27 16:01:29.154804,2024-11-27 16:02:29.349921,0 days 00:01:00.195117,224,"128,256,128",512,1400,"256,256",0.0010017897175758482,COMPLETE
45,45,0.5999105,2024-11-27 16:02:29.350522,2024-11-27 16:03:11.214139,0 days 00:00:41.863617,256,"128,256,128",512,800,"256,256",0.0004508992682888108,COMPLETE
46,46,0.5882299999999998,2024-11-27 16:03:11.214783,2024-11-27 16:04:52.241843,0 days 00:01:41.027060,128,"128,128",448,1000,"128,128",0.0006265002278547625,COMPLETE
47,47,-0.1997605,2024-11-27 16:04:52.242445,2024-11-27 16:05:56.075819,0 days 00:01:03.833374,192,"128,256,128",448,800,"128,128",0.0018553883155065479,COMPLETE
48,48,0.582585,2024-11-27 16:05:56.076490,2024-11-27 16:06:55.211704,0 days 00:00:59.135214,224,"256,256",384,1400,"128,128",0.0033086707775915854,COMPLETE
49,49,0.5001404999999999,2024-11-27 16:06:55.212366,2024-11-27 16:07:47.252935,0 days 00:00:52.040569,256,"128,128",256,1200,"256,256",6.292640732602179e-05,COMPLETE
