,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_layers,params_lr,params_num_timesteps,params_scheduler,params_steps,params_weight_decay,state
0,0,-8.5418265,2024-12-16 10:46:15.042144,2024-12-16 10:47:18.782554,0 days 00:01:03.740410,112,"512, 1024, 1024, 512",0.006970377777802764,1500,cosine,15,1.8273821878559936e-05,COMPLETE
1,1,-6.625813,2024-12-16 10:47:18.783125,2024-12-16 10:48:26.430536,0 days 00:01:07.647411,48,"1024, 2048, 2048, 1024",0.0017301522670274741,1500,cosine,35,3.1785983560924887e-06,COMPLETE
