,number,value,datetime_start,datetime_complete,duration,params_T,params_beta_1,params_beta_T,params_encoder_dim_con,params_encoder_dim_dis,params_lr_con,params_lr_dis,params_total_epochs_both,params_training_batch_size,state
25,25,0.5430655000000001,2024-12-10 11:05:44.577559,2024-12-10 11:10:56.235389,0 days 00:05:11.657830,900,0.0006378002294128096,0.05318717814824867,"256, 512","128, 256",0.00014759622156397764,2.7803456179561683e-05,1400,320,COMPLETE
26,26,-0.10016599999999998,2024-12-10 11:10:56.236138,2024-12-10 11:12:22.306771,0 days 00:01:26.070633,1100,0.0008154387872258488,0.034296733773171086,"256, 512","256, 512",0.00025753833875655414,8.85391957598608e-05,500,448,COMPLETE
27,27,0.8247875,2024-12-10 11:12:22.307455,2024-12-10 11:15:33.487723,0 days 00:03:11.180268,1400,0.0009890109583579362,0.07628169547121538,"256, 512","256, 512",6.545167376688928e-05,0.0003072826544435194,800,256,COMPLETE
28,28,0.9921495000000001,2024-12-10 11:15:33.488317,2024-12-10 11:18:17.990554,0 days 00:02:44.502237,1400,0.0009758579302291524,0.09980346215554131,"128, 256","64, 128",0.0006404858816397233,0.00031671767330075445,700,384,COMPLETE
29,29,-0.05155300000000007,2024-12-10 11:18:17.991439,2024-12-10 11:20:03.785145,0 days 00:01:45.793706,1400,0.0009758538135968914,0.08960863726088256,"128, 256","64, 128",4.444204517568146e-05,0.0003023670569819286,700,576,COMPLETE
30,30,0.21359000000000017,2024-12-10 11:20:03.785874,2024-12-10 11:24:26.288515,0 days 00:04:22.502641,1500,0.0007153403675177944,0.07333942047264391,"128, 256","64, 128",6.537980985881313e-05,0.0002022956932774332,800,192,COMPLETE
31,31,0.9451315,2024-12-10 11:24:26.289169,2024-12-10 11:26:55.569737,0 days 00:02:29.280568,1200,0.0008540593787445968,0.07776781218189724,"128, 256","64, 128",0.0006063468027558771,0.0005905502029915631,600,384,COMPLETE
32,32,0.4498985000000001,2024-12-10 11:26:55.570354,2024-12-10 11:28:42.345651,0 days 00:01:46.775297,1400,0.0008387805006198119,0.07871356870426734,"128, 256","64, 128",0.0005037282241562011,0.00047710691597357377,700,512,COMPLETE
33,33,0.590258,2024-12-10 11:28:42.346505,2024-12-10 11:31:49.134511,0 days 00:03:06.788006,1200,0.0007304899510443536,0.0835900280052149,"128, 256","64, 128",0.0006230713501961536,0.0009530422877866941,800,320,COMPLETE
34,34,0.5593155000000001,2024-12-10 11:31:49.135230,2024-12-10 11:33:52.080520,0 days 00:02:02.945290,1500,0.0005739513409309414,0.06540055787461459,"128, 256","64, 128",0.0002996840322715706,0.0006162294615084247,900,448,COMPLETE
35,35,0.25233950000000005,2024-12-10 11:33:52.081377,2024-12-10 11:35:27.761569,0 days 00:01:35.680192,1300,0.000912441970928978,0.0680464372676748,"128, 256","64, 128",0.0006015718320752553,0.00034242762885535984,600,576,COMPLETE
36,36,-0.38783199999999995,2024-12-10 11:35:27.762097,2024-12-10 11:42:27.793707,0 days 00:07:00.031610,1600,0.0007508847112047018,0.09972359629091548,"128, 256","64, 128",0.00011668101912144808,0.00024852140011390113,1300,192,COMPLETE
37,37,-0.2360835,2024-12-10 11:42:27.795064,2024-12-10 11:44:08.510152,0 days 00:01:40.715088,1000,0.0006427740580642781,0.04996322984300483,"128, 256","64, 128",3.954632825261694e-05,0.00016122591203134663,600,640,COMPLETE
38,38,0.3691905,2024-12-10 11:44:08.510761,2024-12-10 11:47:41.605518,0 days 00:03:33.094757,1200,0.00011192164812841249,0.06092023649454707,"256, 512","64, 128",1.868486926217234e-05,0.0007729196420384024,900,384,COMPLETE
39,39,0.041377,2024-12-10 11:47:41.606477,2024-12-10 11:52:29.688858,0 days 00:04:48.082381,1400,0.0008755158149990309,0.08779374362125403,"128, 256","256, 512",5.433816420671189e-05,0.000551628730982297,1500,256,COMPLETE
40,40,0.5688095,2024-12-10 11:52:29.689545,2024-12-10 11:59:34.323338,0 days 00:07:04.633793,1600,0.0005149924263487302,0.07859887807941711,"256, 512","64, 128",1.1673514464882379e-05,0.00022782787526674528,1100,128,COMPLETE
41,41,-0.37501550000000006,2024-12-10 11:59:34.323890,2024-12-10 12:01:34.865211,0 days 00:02:00.541321,1000,0.0009871092213758472,0.016136093118503184,"64, 128","128, 256",0.0009637626661108854,0.0007740665091817683,500,384,COMPLETE
42,42,-0.5162275000000001,2024-12-10 12:01:34.865818,2024-12-10 12:03:56.508129,0 days 00:02:21.642311,700,0.0006848599550038238,0.010264034384095613,"64, 128","128, 256",0.0006917225121022083,0.00038332725881751016,600,320,COMPLETE
43,43,0.14352050000000005,2024-12-10 12:03:56.508725,2024-12-10 12:05:32.844397,0 days 00:01:36.335672,1100,0.0008591244510650439,0.04780554526785301,"64, 128","128, 256",0.00047147917559160676,0.0005392581051943036,700,448,COMPLETE
44,44,0.9694765,2024-12-10 12:05:32.844974,2024-12-10 12:08:12.810800,0 days 00:02:39.965826,800,0.0007783276261749553,0.09433836750571775,"64, 128","128, 256",0.0003650138836624234,0.0003693670062067301,500,192,COMPLETE
45,45,0.28534099999999996,2024-12-10 12:08:12.813431,2024-12-10 12:11:03.728691,0 days 00:02:50.915260,800,0.0007523176180546304,0.09197642706863061,"128, 256","256, 512",0.0003883119020342029,0.00034025630489165727,500,192,COMPLETE
46,46,0.8488544999999998,2024-12-10 12:11:03.729253,2024-12-10 12:14:08.090300,0 days 00:03:04.361047,800,0.0008995713709123622,0.0998566961565001,"256, 512","128, 256",0.00021977550126815919,0.00016843507870715113,800,256,COMPLETE
47,47,0.9605969999999999,2024-12-10 12:14:08.091161,2024-12-10 12:17:16.056638,0 days 00:03:07.965477,600,0.0009997305852453076,0.08021865630224898,"64, 128","128, 256",0.0003248857376076794,0.0001592129580722233,800,256,COMPLETE
48,48,-0.14727849999999987,2024-12-10 12:17:16.057289,2024-12-10 12:22:35.018930,0 days 00:05:18.961641,600,0.0006606168702105389,0.09690252490061402,"64, 128","128, 256",0.00030639912034853924,0.00016755300052967052,800,128,COMPLETE
49,49,0.18588899999999997,2024-12-10 12:22:35.019746,2024-12-10 12:25:46.328268,0 days 00:03:11.308522,600,0.0005689340436215058,0.08460100151372973,"64, 128","128, 256",0.0002031993179145646,0.00012951657661230864,600,192,COMPLETE
