,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_lambd,params_latent_dim,params_max_beta,params_min_beta,params_num_epochs,params_tabsyn_lr,params_vae_epochs,params_vae_lr,params_wd,state
10,10,1.0503355,2024-12-17 15:11:48.813269,2024-12-17 15:27:42.626071,0 days 00:15:53.812802,128,0.4711171209993247,128,0.08645283524126754,0.0003365750345024583,2000,0.00017117805161251054,3000,0.00020054392174740577,9.600795501707905e-07,COMPLETE
11,11,1.025996,2024-12-17 15:27:42.626723,2024-12-17 15:42:45.706508,0 days 00:15:03.079785,128,0.4737252367759787,128,0.0955633772820606,0.0005120010329329628,2000,0.00010394535123747261,3000,0.0001826759877807446,1.1435286579658332e-06,COMPLETE
12,12,1.0104115000000002,2024-12-17 15:42:45.707109,2024-12-17 16:01:17.052665,0 days 00:18:31.345556,192,0.4980264602601512,128,0.001152243752956753,0.000339473026267807,2000,0.00011838085810044056,2500,0.0008879723682599747,1.0540590511284384e-06,COMPLETE
13,13,0.9485250000000001,2024-12-17 16:01:17.053474,2024-12-17 16:14:55.158541,0 days 00:13:38.105067,64,0.446519058504083,128,0.09682691877600855,0.0002006522828796976,2000,0.00024964925127289036,2500,0.0001240034714545634,1.2192972480819388e-07,COMPLETE
14,14,0.9907445,2024-12-17 16:14:55.159094,2024-12-17 16:29:41.920149,0 days 00:14:46.761055,192,0.5758797619134695,128,0.04966454591187566,1.0532084912063634e-05,4000,0.0005565595399291602,3000,0.00032901767905075863,9.967953859803327e-07,COMPLETE
15,15,0.8608375,2024-12-17 16:29:41.920799,2024-12-17 16:51:11.117817,0 days 00:21:29.197018,256,0.3695590405430889,128,0.00925777374630666,0.00022049015040030308,2000,0.0001826681815799233,1500,0.00039942238625988646,6.166203279004628e-07,COMPLETE
16,16,1.036865,2024-12-17 16:51:11.118366,2024-12-17 17:06:49.471787,0 days 00:15:38.353421,128,0.7076275303253019,64,0.05141269863558712,0.00016315001178913378,6000,0.0002931787320284289,2500,8.333638433750087e-05,2.3715667148234567e-06,COMPLETE
17,17,0.826174,2024-12-17 17:06:49.472367,2024-12-17 17:19:52.668225,0 days 00:13:03.195858,128,0.5436450992949244,96,0.033616833542675466,0.0008398072572635399,4000,0.0008277059098683282,1500,0.0002059031973899209,1.1803249149922204e-07,COMPLETE
18,18,1.0162285000000002,2024-12-17 17:19:52.668874,2024-12-17 17:32:21.213280,0 days 00:12:28.544406,320,0.37958075171487893,128,0.07039241532172862,6.897894363252583e-05,10000,0.001756884389236536,500,0.0005022790757663179,3.466495550381292e-07,COMPLETE
19,19,-2.971067,2024-12-17 17:32:21.213992,2024-12-17 17:42:12.872626,0 days 00:09:51.658634,256,0.8209423437413838,96,0.012224759576692666,1.1252474925208095e-05,2000,0.0001880125071865909,3000,7.598104117897415e-05,2.340135217273611e-05,COMPLETE
20,20,1.058319,2024-12-17 17:42:12.873203,2024-12-17 17:55:59.983172,0 days 00:13:47.109969,192,0.3879585290228737,128,0.03149084678310918,0.0003958730347135145,6000,0.0006956256873262087,1000,0.00020427867108499184,2.390746702620065e-06,COMPLETE
21,21,1.1081015,2024-12-17 17:55:59.983754,2024-12-17 18:15:22.021135,0 days 00:19:22.037381,192,0.3837465437420824,128,0.0310289827505086,0.00035583718898755175,6000,0.0006880963179447558,1000,0.0002025695365132243,1.5792921646034578e-06,COMPLETE
22,22,0.9100404999999998,2024-12-17 18:15:22.021706,2024-12-17 18:38:21.548907,0 days 00:22:59.527201,192,0.20401167375672188,128,0.02768726411266142,0.00014511315503202207,8000,0.0006901163932990817,1000,0.00013252032301186258,1.9072248608341986e-06,COMPLETE
23,23,1.1995885,2024-12-17 18:38:21.549504,2024-12-17 18:53:49.146916,0 days 00:15:27.597412,256,0.3793577963327601,128,0.015095603034124815,0.00042711335099475416,6000,0.0012850198354889613,1000,0.0005705970822924659,6.561560777130486e-06,COMPLETE
24,24,1.0823875,2024-12-17 18:53:49.147511,2024-12-17 19:09:08.291008,0 days 00:15:19.143497,320,0.5660471298381822,96,0.00840602422092214,0.00025712176491694675,6000,0.0013501161780631312,500,0.000979485609751154,1.5750175185120205e-05,COMPLETE
25,25,1.1182720000000002,2024-12-17 19:09:08.291584,2024-12-17 19:25:49.649253,0 days 00:16:41.357669,256,0.34865182780172244,128,0.016721000604264586,0.0009713581247045784,10000,0.0028313025149334942,1500,0.0005964812729661819,8.521954140765108e-05,COMPLETE
26,26,1.0486304999999998,2024-12-17 19:25:49.649847,2024-12-17 19:39:20.290808,0 days 00:13:30.640961,256,0.30832674397176163,96,0.01621851562723279,0.0006057310503813823,10000,0.003243450641533831,1500,0.0006114816970467684,8.436579215296499e-05,COMPLETE
27,27,1.1354775,2024-12-17 19:39:20.291420,2024-12-17 20:01:10.219461,0 days 00:21:49.928041,320,0.6146137443950359,128,0.006571984001122393,0.0009583530125433786,10000,0.002105026138156389,2000,0.0004798268228400363,9.397488821094127e-05,COMPLETE
28,28,1.036165,2024-12-17 20:01:10.220323,2024-12-17 20:16:01.568322,0 days 00:14:51.347999,320,0.6518942557592992,64,0.006090165334744635,2.2509225705006027e-05,8000,0.0019117701188531035,2000,0.00046944375421223406,6.886186385319818e-06,COMPLETE
29,29,-1.851677,2024-12-17 20:16:01.569087,2024-12-17 20:23:09.211840,0 days 00:07:07.642753,448,0.765470440211057,96,0.001982902752019215,5.687395354444552e-05,10000,0.0011293670168645797,2000,0.00027821687267818424,4.041112801977753e-06,COMPLETE
30,30,0.8616835,2024-12-17 20:23:09.212547,2024-12-17 20:35:46.167438,0 days 00:12:36.954891,384,0.5227824780821484,128,0.00575505029661088,0.00012886673322567855,12000,0.001318077998102909,2000,0.0008800790141053346,2.0452227934884042e-07,COMPLETE
31,31,1.2359304999999998,2024-12-17 20:35:46.168108,2024-12-17 20:51:22.745759,0 days 00:15:36.577651,256,0.6028365976906195,128,0.011277350777238921,0.0009297365635786527,10000,0.0026736149577725643,1500,0.0006412971654780989,7.435721891031547e-05,COMPLETE
32,32,1.0647335,2024-12-17 20:51:22.746293,2024-12-17 21:08:17.602265,0 days 00:16:54.855972,320,0.6779319903916313,128,0.01125306888703486,0.0005502368528159903,10000,0.004164338054609164,1500,0.0006974259971750598,4.506282342071556e-05,COMPLETE
33,33,1.3044620000000002,2024-12-17 21:08:17.602922,2024-12-17 21:32:06.862171,0 days 00:23:49.259249,256,0.6046301508283891,128,0.008132709272804104,0.0006691893938675616,8000,0.007012080878777899,2000,0.00027525327333091746,2.9806215231449348e-05,COMPLETE
34,34,0.943526,2024-12-17 21:32:06.862728,2024-12-17 21:44:54.840495,0 days 00:12:47.977767,256,0.7250746222054493,32,0.013804412528745407,0.0006833453849913879,8000,0.007996536559371282,1000,0.00030373999569079807,2.8951877175114975e-05,COMPLETE
35,35,1.1227625,2024-12-17 21:44:54.841286,2024-12-17 22:13:46.250407,0 days 00:28:51.409121,256,0.6084723619505428,128,0.00454428108955056,0.0004842595779316137,4000,0.007674626812893034,1500,0.0003805948468560282,1.2818249111969729e-05,COMPLETE
36,36,0.9924740000000001,2024-12-17 22:13:46.250938,2024-12-17 22:33:31.623596,0 days 00:19:45.372658,256,0.44579675030168464,96,0.020763451020910997,0.0002735230872835698,6000,0.0036426110652707285,2500,0.0002615701590899083,1.9908493339696433e-05,COMPLETE
37,37,0.9399669999999999,2024-12-17 22:33:31.624199,2024-12-17 22:50:45.408875,0 days 00:17:13.784676,192,0.8201950589420745,128,0.007923245691581616,2.712274102993699e-05,4000,0.0070463836305197656,2000,0.0007424545406479575,5.980291812626348e-05,COMPLETE
38,38,0.947845,2024-12-17 22:50:45.409462,2024-12-17 23:04:01.120400,0 days 00:13:15.710938,320,0.6008759061448984,96,0.04235884882341858,1.4222513646424405e-05,8000,0.005619530544451194,1500,0.0005384546065605606,8.298925679937773e-06,COMPLETE
39,39,0.8464749999999999,2024-12-17 23:04:01.121175,2024-12-17 23:17:04.954816,0 days 00:13:03.833641,448,0.7195464906153078,128,0.021039055877274282,4.9115849416635004e-05,6000,0.002423253301889712,2000,0.00042174129377303373,3.3375046411129915e-05,COMPLETE
40,40,0.940077,2024-12-17 23:17:04.955377,2024-12-17 23:34:48.518335,0 days 00:17:43.562958,384,0.5264236518450451,96,0.002975698390938145,0.0004433745781161915,12000,0.0015653972710027698,1000,0.0007564990826935626,4.688075605968601e-06,COMPLETE
41,41,1.063091,2024-12-17 23:34:48.520524,2024-12-17 23:53:19.180006,0 days 00:18:30.659482,320,0.62269804350418,128,0.007110215896477848,0.0009527600774410172,10000,0.0021719020651901925,2000,0.0005200318924305175,6.784732565694361e-05,COMPLETE
42,42,1.0576145000000001,2024-12-17 23:53:19.180633,2024-12-18 00:12:30.836509,0 days 00:19:11.655876,256,0.6782551655535538,128,0.004593346431907659,0.0007577844216366131,8000,0.00095099458491025,2000,0.0006279538937092583,4.855655171440391e-05,COMPLETE
43,43,1.1520964999999999,2024-12-18 00:12:30.837205,2024-12-18 00:19:04.222026,0 days 00:06:33.384821,320,0.5792333568216127,128,0.011125505648496568,0.0006244548560127945,10000,0.00999656770186856,2000,0.0009637288566508166,9.780256148568177e-05,COMPLETE
44,44,1.076656,2024-12-18 00:19:04.222581,2024-12-18 00:35:20.367659,0 days 00:16:16.145078,256,0.5782775181528564,128,0.01002077953879949,0.0005916791586322136,12000,0.00962003963718966,2500,0.0009348688926001428,6.348328893525508e-07,COMPLETE
45,45,1.1175405,2024-12-18 00:35:20.368287,2024-12-18 00:59:46.702467,0 days 00:24:26.334180,192,0.44454508901567974,128,0.01361089509864487,0.0001015584413419676,8000,0.006226957521124023,1500,0.0008007881259749566,6.793003654645414e-05,COMPLETE
46,46,0.9703115000000001,2024-12-18 00:59:46.703045,2024-12-18 01:19:38.644914,0 days 00:19:51.941869,384,0.49382149912682943,128,0.025684225347093238,0.0006881644607690821,10000,0.00042409188495410455,2500,0.00033636067555877815,4.424132784637002e-05,COMPLETE
47,47,-17.3000545,2024-12-18 01:19:38.645736,2024-12-18 01:24:52.444942,0 days 00:05:13.799206,512,0.7569726201458896,128,0.018196964529726887,0.00042449169284494606,8000,0.004900661997619504,2000,1.804817319494776e-05,2.589573878317364e-05,COMPLETE
48,48,1.1060595,2024-12-18 01:24:52.445604,2024-12-18 01:51:35.482772,0 days 00:26:43.037168,256,0.9388677477344893,128,0.01012677333344246,0.0006197191525844054,4000,0.009677684788680883,1500,0.0002503029705877834,9.702093262602532e-06,COMPLETE
49,49,-0.521504,2024-12-18 01:51:35.484023,2024-12-18 01:58:47.842312,0 days 00:07:12.358289,320,0.5400567031575458,96,0.06734649313173766,0.00030424511870199655,12000,0.0038681716752330675,2500,5.620816776969605e-05,1.7170217701250358e-05,COMPLETE
