,number,value,datetime_start,datetime_complete,duration,params_T,params_beta_1,params_beta_T,params_encoder_dim_con,params_encoder_dim_dis,params_lr_con,params_lr_dis,params_total_epochs_both,params_training_batch_size,state
0,0,0.24412749999999983,2024-12-18 11:44:31.554167,2024-12-18 11:59:48.800954,0 days 00:15:17.246787,1200,0.00033398207691771105,0.04053666830685325,"128, 256","64, 128",2.5720902202457238e-05,0.0009623083165739307,30000,192,COMPLETE
1,1,1.3821314999999998,2024-12-18 11:59:48.801541,2024-12-18 12:04:13.145126,0 days 00:04:24.343585,700,0.00027509509498445525,0.040475933134682396,"128, 256","64, 128",0.0007769167905262432,9.81692154325617e-05,10000,768,COMPLETE
2,2,-0.09587750000000006,2024-12-18 12:04:13.146289,2024-12-18 12:08:19.331051,0 days 00:04:06.184762,2000,0.0007111316690692721,0.038386892297515504,"128, 256","64, 128",0.0007755587497586011,9.902994957537927e-05,30000,704,COMPLETE
3,3,1.330086,2024-12-18 12:08:19.331657,2024-12-18 12:15:41.676270,0 days 00:07:22.344613,1000,0.00017804053702131646,0.05030385416481037,"128, 256","256, 512",0.000565014594258447,6.436096867675541e-05,40000,256,COMPLETE
4,4,0.7631990000000001,2024-12-18 12:15:41.678058,2024-12-18 12:19:43.966597,0 days 00:04:02.288539,1100,0.00023892263505277697,0.041272225255430256,"64, 128","128, 256",0.00017639342291416203,0.0003519684430727708,20000,640,COMPLETE
5,5,0.8058494999999999,2024-12-18 12:19:43.967134,2024-12-18 12:26:13.922623,0 days 00:06:29.955489,2000,0.0005093434095396384,0.014374511242156905,"128, 256","256, 512",4.874290550428215e-05,0.00019990297667730274,40000,320,COMPLETE
6,6,-0.31269250000000004,2024-12-18 12:26:13.923172,2024-12-18 12:28:47.424186,0 days 00:02:33.501014,1700,0.0005370603338885214,0.02775838753050865,"64, 128","64, 128",1.8839072144920372e-05,0.0003008794523330822,30000,704,COMPLETE
7,7,0.7283514999999999,2024-12-18 12:28:47.424855,2024-12-18 12:39:13.979770,0 days 00:10:26.554915,1600,0.00040901697944265014,0.023317367157937537,"64, 128","256, 512",3.385910048318114e-05,0.00048759337064316024,40000,832,COMPLETE
8,8,0.19363849999999982,2024-12-18 12:39:13.980332,2024-12-18 12:45:49.985968,0 days 00:06:36.005636,500,0.00010238375268288311,0.036401652950637776,"128, 256","256, 512",4.7374227446320896e-05,0.00015702965310057055,30000,704,COMPLETE
9,9,0.9681060000000001,2024-12-18 12:45:49.986518,2024-12-18 12:52:45.107469,0 days 00:06:55.120951,1300,0.000866557722081687,0.04835122043190661,"256, 512","64, 128",1.54083482456683e-05,1.9813710777193553e-05,20000,512,COMPLETE
10,10,0.7948005,2024-12-18 12:52:45.108224,2024-12-18 13:06:18.773341,0 days 00:13:33.665117,500,0.00016938614607844285,0.09604235436006256,"256, 512","128, 256",0.0002504989623411648,1.0244644786008464e-05,10000,1024,COMPLETE
11,11,1.0012835,2024-12-18 13:06:18.774028,2024-12-18 13:13:56.037630,0 days 00:07:37.263602,800,0.00020252336199226795,0.07366792834390522,"128, 256","256, 512",0.0009954725124977765,5.536434418325782e-05,10000,448,COMPLETE
12,12,1.1161044999999998,2024-12-18 13:13:56.038929,2024-12-18 13:31:31.292275,0 days 00:17:35.253346,900,0.00013863061731118995,0.017750957554729538,"128, 256","256, 512",0.00039461815006399986,4.634776113884476e-05,10000,192,COMPLETE
13,13,1.0504335,2024-12-18 13:31:31.293277,2024-12-18 13:39:42.503783,0 days 00:08:11.210506,800,0.0002588649468026258,0.06107777826213736,"128, 256","64, 128",0.0004999279964294252,4.914116964796921e-05,20000,960,COMPLETE
