,number,value,datetime_start,datetime_complete,duration,params_T,params_beta_1,params_beta_T,params_encoder_dim_con,params_encoder_dim_dis,params_lr_con,params_lr_dis,params_total_epochs_both,params_training_batch_size,state
14,14,0.20152750000000008,2024-12-18 13:39:42.505156,2024-12-18 14:09:41.593597,0 days 00:29:59.088441,1000,0.0001243507859399639,0.010761216105295936,"128, 256","128, 256",0.00017355117184557844,2.4857764362291115e-05,40000,320,COMPLETE
15,15,0.825874,2024-12-18 14:09:41.594373,2024-12-18 14:22:17.967672,0 days 00:12:36.373299,700,0.0002753631441923855,0.0539309125036421,"256, 512","64, 128",9.523110007931285e-05,9.223826662197968e-05,20000,832,COMPLETE
16,16,0.38722049999999997,2024-12-18 14:22:17.969019,2024-12-18 14:43:19.266147,0 days 00:21:01.297128,1500,0.00017885940950038436,0.026951192421613833,"128, 256","256, 512",0.000438882267993156,0.00015725942117896468,10000,384,COMPLETE
17,17,0.6125919999999999,2024-12-18 14:43:19.267954,2024-12-18 14:58:23.945857,0 days 00:15:04.677903,600,0.00036035176961436103,0.07159887505831737,"128, 256","64, 128",0.0006235688616595663,3.269447219866521e-05,40000,128,COMPLETE
18,18,0.27247749999999993,2024-12-18 14:58:23.946694,2024-12-18 15:10:04.677138,0 days 00:11:40.730444,1300,0.0002124755224357878,0.02116995880011226,"256, 512","256, 512",0.00025863357443895276,7.087660068301623e-05,20000,576,COMPLETE
19,19,0.6739900000000001,2024-12-18 15:10:04.677792,2024-12-18 15:19:55.969561,0 days 00:09:51.291769,1000,0.0001474440435223218,0.08977807932860718,"64, 128","128, 256",7.949901945355455e-05,1.2424945906940574e-05,30000,832,COMPLETE
20,20,0.9448824999999998,2024-12-18 15:19:55.970485,2024-12-18 15:26:50.413765,0 days 00:06:54.443280,700,0.00041001390577527513,0.03259701711645693,"128, 256","256, 512",0.0009999497444193124,0.00012361574477382927,10000,512,COMPLETE
21,21,1.2112014999999998,2024-12-18 15:26:50.414688,2024-12-18 15:45:14.280082,0 days 00:18:23.865394,900,0.00013676934435125348,0.017135973530176745,"128, 256","256, 512",0.0003773527746422234,4.0836805231573247e-05,10000,192,COMPLETE
22,22,0.410848,2024-12-18 15:45:14.281231,2024-12-18 16:02:10.559193,0 days 00:16:56.277962,900,0.00011545385969304579,0.010346856452312926,"128, 256","256, 512",0.0003411562062993516,3.5622521322088273e-05,10000,256,COMPLETE
23,23,1.3504310000000002,2024-12-18 16:02:10.561286,2024-12-18 16:27:46.521610,0 days 00:25:35.960324,1100,0.0001574699096469349,0.01408868578401963,"128, 256","256, 512",0.0006062437928557098,6.610265254346522e-05,10000,128,COMPLETE
24,24,0.10539250000000022,2024-12-18 16:27:46.522168,2024-12-18 16:39:30.538140,0 days 00:11:44.015972,1100,0.0001723927496029411,0.048163970673339516,"128, 256","256, 512",0.000684919448868413,7.76345335296895e-05,20000,128,COMPLETE
25,25,-0.11483050000000006,2024-12-18 16:39:30.538780,2024-12-18 16:49:11.787112,0 days 00:09:41.248332,1400,0.0002824090986322193,0.06073795594876289,"128, 256","64, 128",0.000151727388626793,0.00022005955504961149,10000,320,COMPLETE
26,26,0.39412499999999995,2024-12-18 16:49:11.787720,2024-12-18 16:54:51.702101,0 days 00:05:39.914381,1100,0.00021078018253455416,0.012959809787037027,"128, 256","256, 512",0.0005912339014785374,7.05393451300856e-05,20000,896,COMPLETE
27,27,0.6450009999999999,2024-12-18 16:54:51.702634,2024-12-18 17:04:13.127949,0 days 00:09:21.425315,700,0.0001589349927332602,0.03314499403917412,"128, 256","256, 512",0.0002610435492642242,0.00012116594081016053,40000,256,COMPLETE
28,28,0.7359060000000001,2024-12-18 17:04:13.128528,2024-12-18 17:09:01.685930,0 days 00:04:48.557402,1200,0.0001904597119647557,0.027252948015521798,"64, 128","128, 256",0.0007563125221419336,2.8875284285843046e-05,10000,448,COMPLETE
29,29,0.29245149999999986,2024-12-18 17:09:01.686726,2024-12-18 17:23:48.665869,0 days 00:14:46.979143,1000,0.0003222091098884842,0.04354096017733361,"256, 512","64, 128",0.0005315929890965612,0.000519015953735673,30000,128,COMPLETE
30,30,0.38046199999999986,2024-12-18 17:23:48.666483,2024-12-18 17:38:18.218370,0 days 00:14:29.551887,1200,0.0002330293821567069,0.02185648663370009,"128, 256","64, 128",1.0441166520747099e-05,5.684548898630586e-05,20000,256,COMPLETE
31,31,0.19039050000000002,2024-12-18 17:38:18.219215,2024-12-18 17:46:12.468902,0 days 00:07:54.249687,900,0.00012848502842889762,0.016067756007995534,"128, 256","256, 512",0.0003392397175262241,4.257756505557228e-05,10000,192,COMPLETE
32,32,0.580154,2024-12-18 17:46:12.469476,2024-12-18 18:11:41.197352,0 days 00:25:28.727876,800,0.0001537506510460972,0.012346176865028013,"128, 256","256, 512",0.0007684930720082479,9.610770812324656e-05,10000,192,COMPLETE
33,33,0.830935,2024-12-18 18:11:41.197921,2024-12-18 18:22:27.293570,0 days 00:10:46.095649,600,0.00010681633861956388,0.018773331446918517,"128, 256","256, 512",0.0004351948425796536,1.9616633417246317e-05,10000,128,COMPLETE
34,34,1.2504024999999999,2024-12-18 18:22:27.294150,2024-12-18 18:29:47.392193,0 days 00:07:20.098043,1100,0.0001357759662901532,0.014494597035147284,"128, 256","256, 512",0.0009972023819391476,0.00012882815968120223,10000,384,COMPLETE
35,35,1.3489855,2024-12-18 18:29:47.392851,2024-12-18 18:41:39.382081,0 days 00:11:51.989230,1100,0.00022747131406509924,0.01437766880811812,"128, 256","256, 512",0.0009003088759317729,0.00013758184846974635,30000,384,COMPLETE
36,36,0.5068199999999999,2024-12-18 18:41:39.382642,2024-12-18 18:47:46.137752,0 days 00:06:06.755110,1800,0.00023776211055326772,0.038264641858142046,"64, 128","64, 128",0.0001294521602345277,0.00024156366055031866,30000,640,COMPLETE
37,37,0.8191949999999999,2024-12-18 18:47:46.138302,2024-12-18 18:53:19.136325,0 days 00:05:32.998023,1400,0.0003038810758479953,0.044579793443066396,"128, 256","256, 512",0.000784288585807103,0.00015597761832944812,40000,768,COMPLETE
38,38,1.1717075,2024-12-18 18:53:19.136938,2024-12-18 19:00:55.413747,0 days 00:07:36.276809,1200,0.0003645643716700864,0.02436854188964443,"128, 256","128, 256",0.00023036315573795132,0.00031388117054468803,30000,320,COMPLETE
39,39,0.6108729999999999,2024-12-18 19:00:55.414305,2024-12-18 19:07:09.842476,0 days 00:06:14.428171,1400,0.00046637904864163765,0.03549229120255577,"64, 128","256, 512",0.0005437973143992776,8.06635702649518e-05,30000,640,COMPLETE
40,40,0.3307255,2024-12-18 19:07:09.843081,2024-12-18 19:14:49.985790,0 days 00:07:40.142709,1000,0.00023782659230654217,0.030378023499242495,"128, 256","64, 128",6.180429766864674e-05,0.0008052100882819863,40000,384,COMPLETE
41,41,1.1624315,2024-12-18 19:14:49.986376,2024-12-18 19:26:08.787735,0 days 00:11:18.801359,1100,0.0001870857940494875,0.013141313579592102,"128, 256","256, 512",0.0009870522902502555,0.00010918571928911451,20000,384,COMPLETE
42,42,0.04408449999999986,2024-12-18 19:26:08.788628,2024-12-18 19:34:12.860728,0 days 00:08:04.072100,1300,0.0005950428814718529,0.015706936406218886,"128, 256","256, 512",0.0008642900086105088,0.00016925327560783328,40000,448,COMPLETE
43,43,1.2835874999999999,2024-12-18 19:34:12.861367,2024-12-18 19:42:04.596775,0 days 00:07:51.735408,1100,0.00021534584709021585,0.01446113393565459,"128, 256","256, 512",0.0006572229952052273,6.405125427647101e-05,10000,256,COMPLETE
44,44,1.387699,2024-12-18 19:42:04.597405,2024-12-18 19:55:18.673935,0 days 00:13:14.076530,1200,0.00021977585252621785,0.011513657846257793,"128, 256","256, 512",0.000651471707668625,5.98623538153431e-05,30000,256,COMPLETE
45,45,-0.13573499999999994,2024-12-18 19:55:18.675558,2024-12-18 20:04:40.780537,0 days 00:09:22.104979,1200,0.00026266624150152504,0.011411624129790835,"256, 512","256, 512",0.0003035697914012671,5.75586197682623e-05,30000,256,COMPLETE
46,46,1.223837,2024-12-18 20:04:40.781180,2024-12-18 20:10:41.884255,0 days 00:06:01.103075,1500,0.0002980483835482824,0.054269152564108414,"128, 256","256, 512",0.00047548854131266633,8.495359682188912e-05,30000,576,COMPLETE
47,47,1.02239,2024-12-18 20:10:41.884930,2024-12-18 20:16:41.931593,0 days 00:06:00.046663,800,0.00016319441794116713,0.01970769131125039,"128, 256","64, 128",0.0005825902161142526,9.847495757736197e-05,30000,320,COMPLETE
48,48,-0.6719204999999999,2024-12-18 20:16:41.932185,2024-12-18 20:23:22.332739,0 days 00:06:40.400554,1300,0.0002028088355235029,0.011715078747691832,"128, 256","128, 256",0.0008037564220268356,4.941847016496465e-05,40000,192,COMPLETE
49,49,1.276888,2024-12-18 20:23:22.333315,2024-12-18 20:31:46.800625,0 days 00:08:24.467310,1000,0.00025989626448173975,0.010234375234856099,"256, 512","256, 512",0.00019300761600237964,0.00013879090675467177,20000,512,COMPLETE
