,number,value,datetime_start,datetime_complete,duration,params_T,params_beta_1,params_beta_T,params_encoder_dim_con,params_encoder_dim_dis,params_lr_con,params_lr_dis,params_total_epochs_both,params_training_batch_size,state
0,0,0.8014615,2024-12-16 10:58:03.947963,2024-12-16 11:05:44.581624,0 days 00:07:40.633661,600,0.00016045772763235202,0.05780401988289083,"128, 256","64, 128",2.010921280193817e-05,0.00016941447098022322,20000,448,COMPLETE
1,1,0.814795,2024-12-16 11:05:44.582219,2024-12-16 11:14:35.202728,0 days 00:08:50.620509,1300,0.0002749370351916375,0.0396697978517224,"64, 128","256, 512",6.349434162797057e-05,4.677829700492345e-05,10000,128,COMPLETE
2,2,0.3102555,2024-12-16 11:14:35.203387,2024-12-16 11:21:13.832417,0 days 00:06:38.629030,600,0.0003755911829866036,0.014764536154426595,"64, 128","128, 256",0.00011608540638899377,0.0004381059105913673,30000,576,COMPLETE
3,3,0.360104,2024-12-16 11:21:13.832972,2024-12-16 11:26:50.406686,0 days 00:05:36.573714,1400,0.0005136967161166657,0.08375171328649382,"128, 256","64, 128",0.000184153545361945,2.953236157142653e-05,40000,448,COMPLETE
4,4,0.6177125000000001,2024-12-16 11:26:50.407295,2024-12-16 11:32:34.130474,0 days 00:05:43.723179,1600,0.00014704638201235007,0.012118366807343376,"256, 512","128, 256",0.00014971978681727147,6.974740294609712e-05,40000,256,COMPLETE
5,5,1.2703955,2024-12-16 11:32:34.131020,2024-12-16 11:41:32.873217,0 days 00:08:58.742197,1700,0.00034309910557982757,0.012082258458029236,"128, 256","256, 512",0.00021696227831114265,0.00019734106123416687,30000,832,COMPLETE
6,6,1.1101755,2024-12-16 11:41:32.873839,2024-12-16 11:53:21.937839,0 days 00:11:49.064000,1600,0.00012971059604876387,0.013992655902794266,"64, 128","128, 256",5.727413204460977e-05,0.0003346024767656177,40000,192,COMPLETE
7,7,0.4927730000000001,2024-12-16 11:53:21.938384,2024-12-16 11:57:01.501376,0 days 00:03:39.562992,1900,0.0001406816415570016,0.049830074130900535,"256, 512","128, 256",9.277304480699999e-05,0.0006642714079436624,10000,1024,COMPLETE
8,8,0.5132735000000002,2024-12-16 11:57:01.501910,2024-12-16 12:03:49.325449,0 days 00:06:47.823539,600,0.000738127248607389,0.015094847800368705,"64, 128","64, 128",0.0003942365986252317,0.0004079128049649372,20000,448,COMPLETE
9,9,0.29895449999999996,2024-12-16 12:03:49.325972,2024-12-16 12:19:14.683034,0 days 00:15:25.357062,2000,0.00021033004066470156,0.010433492086291574,"256, 512","64, 128",5.756382080636727e-05,2.033984357467069e-05,20000,192,COMPLETE
10,10,0.7574585,2024-12-16 12:19:14.683974,2024-12-16 12:23:34.293037,0 days 00:04:19.609063,1000,0.0007338817988290179,0.0249293375174273,"128, 256","256, 512",0.0005286422798761733,1.032963963380804e-05,30000,960,COMPLETE
11,11,-0.47895,2024-12-16 12:23:34.293928,2024-12-16 12:25:36.286182,0 days 00:02:01.992254,1600,0.00010055944289651484,0.021263772854750933,"64, 128","256, 512",1.4095942325383144e-05,0.00015941797000079537,40000,832,COMPLETE
12,12,-0.3223545,2024-12-16 12:25:36.286797,2024-12-16 12:27:24.513074,0 days 00:01:48.226277,1700,0.0003623014654240869,0.01978144038233595,"128, 256","256, 512",3.139460333247512e-05,0.00022581937974372934,30000,768,COMPLETE
13,13,0.4223714999999999,2024-12-16 12:27:24.513656,2024-12-16 12:32:55.616309,0 days 00:05:31.102653,1000,0.00025340350547961934,0.030071601065133093,"64, 128","128, 256",0.00033519638084478155,0.0002987802973450274,40000,704,COMPLETE
14,14,0.310808,2024-12-16 12:32:55.617193,2024-12-16 12:40:56.143068,0 days 00:08:00.525875,1800,0.0005165651261245068,0.015257311368632686,"128, 256","256, 512",0.0007990113447249265,0.00011240599594673958,30000,320,COMPLETE
15,15,-0.6273265,2024-12-16 12:40:56.143643,2024-12-16 12:42:53.140726,0 days 00:01:56.997083,1500,0.00010721985560755295,0.010706878873108311,"64, 128","128, 256",4.334562452722676e-05,0.0007732802330192362,40000,896,COMPLETE
16,16,1.2794665,2024-12-16 12:42:53.141272,2024-12-16 12:48:47.188144,0 days 00:05:54.046872,1100,0.0004489275600895296,0.019145799843211016,"128, 256","128, 256",0.00024652347667045095,0.0009801924984185722,30000,640,COMPLETE
17,17,0.5881064999999999,2024-12-16 12:48:47.188709,2024-12-16 12:55:45.017567,0 days 00:06:57.828858,1100,0.000969639696267775,0.019511618823048187,"128, 256","256, 512",0.00020016956441288572,0.0007059730377210743,30000,640,COMPLETE
18,18,0.557995,2024-12-16 12:55:45.018131,2024-12-16 13:00:16.915246,0 days 00:04:31.897115,800,0.00046290575680479337,0.029602789380297333,"128, 256","128, 256",0.0002629526955199335,0.000991567605118342,20000,640,COMPLETE
19,19,1.0410184999999998,2024-12-16 13:00:16.915847,2024-12-16 13:05:40.501791,0 days 00:05:23.585944,1200,0.00020452885270314037,0.01813378721941917,"128, 256","256, 512",0.0007487448371399857,0.00011172905501684292,30000,832,COMPLETE
20,20,0.22078949999999997,2024-12-16 13:05:40.502384,2024-12-16 13:11:04.457650,0 days 00:05:23.955266,800,0.00040018095434102535,0.0387156647485754,"128, 256","256, 512",0.0004763452423026136,6.449928892403446e-05,20000,768,COMPLETE
